,Price,Address,locality,beds,Full Baths,Half Baths,Area,Lot Size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4 Beds,4 Full Baths,,,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5 Beds,3 Full Baths,,"3,154 Sq. Ft",
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4 Beds,3 Full Baths,1 Half Bath,"3,076 Sq. Ft","Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3 Beds,3 Full Baths,,"1,172 Sq. Ft","Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4 Beds,2 Full Baths,,"1,932 Sq. Ft",0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4 Beds,3 Full Baths,,"1,676 Sq. Ft","Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3 Beds,2 Full Baths,,"1,344 Sq. Ft","Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3 Beds,2 Full Baths,,"1,920 Sq. Ft","Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3 Beds,2 Full Baths,,"1,664 Sq. Ft",2.02 Acres
